PB_ratio,Market_Cap,Debt_to_Equity,Z_score,Quick_Ratio,Total_Asset_Growth,Net_Debt,Operating_Profitability
0.019399904,25996838761,0.397332063,1.757517573,0.89168,0.068811585,38582109000,14250894000
0.019799142,32640410509,0.455336738,2.314196309,0.82047,0.342823767,40901047000,15790863000
0.022265466,28576071845,0.582392916,3.179783156,2.92493,0.301979922,33393856000,12170353000
3.659784056,13699250446,1.656043796,0.149630701,0.15984,0.019325617,-32600000,-3975200000
1.957270561,13452334717,1.214148139,0.114059808,0.16279,0.137783476,8042100000,-3686500000
1.412125683,13873005959,0.842211798,0.289960649,0.15105,0.079311088,9203400000,-934300000
1.251514519,15080149523,0.977027614,0.3206567,0.15386,0.046754611,12667900000,-1671000000
1.072871844,28358728727,0.925901515,0.657651211,0.14876,-0.019611269,14705600000,1183600000
1.010118184,39094990425,0.976298961,0.77040704,0.15755,0.323839705,16137600000,1191400000
0.800254178,42158565250,0.74342013,1.375128651,0.45669,-0.023772783,15426270000,2512920000
0.829802735,28971445536,0.632448703,1.23968263,0.52197,0.079563238,12531140000,2747530000
0.865843588,24801313224,0.53582728,1.188444596,0.50539,0.062918762,9566060000,2317010000
0.894648157,22844277446,0.455054622,1.298670842,0.48599,0.124401055,7576290000,2195500000
8.338562935,2.07089E+11,1.498928544,1.734640864,0.30653,0.09212751,35349400000,8922600000
9.361680704,1.0727E+11,1.428177417,1.053836315,0.26263,0.080478705,31003800000,7913700000
10.21322592,1.12819E+11,1.686016502,1.103683498,0.27932,0.096776504,35018400000,6886000000
11.60952012,51884024665,2.13183766,0.661471914,0.2112,0.127163066,43652200000,3835100000
11.80367559,44644353504,2.013931692,0.715001495,0.16354,0.135287865,42621700000,5787600000
12.39330947,29675169905,1.744938693,1.003994605,0.16792,0.380726092,35151300000,7170100000
11.57440423,42870306196,1.482142701,1.118109369,0.32885,0.231400769,30574700000,4833900000
13.22676754,17056762099,1.520027612,1.157561516,0.18156,0.059056654,24371200000,5313300000
14.51371387,17380478998,1.598832105,1.099293128,0.17378,0.394344325,21227400000,4568600000
16.37845741,17247444521,1.225932232,1.106984319,0.1509,0.286863078,15804100000,2845400000
4.523045936,37135754237,1.521630128,1.113525719,0.20785,0.174403285,6094000000,369100000
3.166398205,21186229009,0.535778696,1.408590654,0.21018,0.061070125,1935300000,1777100000
3.458578741,22995133943,0.563489664,1.260467286,0.14842,0.017655608,3797800000,1779700000
3.711495436,18545075796,0.758557813,0.955374279,0.10606,0.041079477,5649700000,523100000
3.656528946,18904447559,0.590428412,1.234437751,0.11034,0.032347553,4326100000,2195600000
3.9386876,18074274306,0.960566096,1.385062437,0.10214,0.360494882,7626100000,2352500000
3.363606701,27728031500,0.701000224,2.55348575,0.41056,-0.071215481,6114300000,2975100000
3.77646166,6304472429,0.869109709,1.684077,0.22093,0.034018674,6914700000,2232200000
4.229357106,11684490968,1.011234663,1.584625724,0.27859,0.12182614,7311700000,1832400000
3.892953024,13904695801,0.677097916,2.298050255,0.23931,0.322411491,5272300000,1947900000
8.348108835,5.59791E+11,1.068729478,2.28660012,0.43487,0.546608787,47388600000,-1742400000
9.005205415,3.40493E+11,0.694151681,1.763529413,0.55866,0.297791004,33609100000,2356500000
9.616074581,5.20337E+11,0.598962122,3.685857754,1.16097,0.095761482,4997900000,1983900000
9.133078063,3.61018E+11,0.545995007,3.405137189,1.21637,0.6102496,1502800000,-2218200000
15.385758,2.49075E+11,0.668656493,3.057765494,1.04769,0.246815047,1544600000,3584600000
27.58080746,1.49678E+11,1.423987752,2.400616442,0.63255,-0.021655321,21220400000,1639800000
53.66049699,1.49922E+11,3.059203569,1.310520177,0.38649,0.002909842,28319800000,-1949600000
57.61425799,65601560252,3.547950334,0.960309212,0.27217,0.253769119,35133100000,2381900000
35.64735375,67086704895,1.766446436,1.46063419,0.44806,0.000509497,26503500000,1224500000
37.3773735,51342258715,1.958286986,1.677187052,0.4855,0.069694081,25075700000,2472300000
1.709700282,93091466982,0.403796287,2.517802995,0.74717,0.084682626,10956438000,1298697000
